strategy,mean_m,vol_m,mean_a,vol_a,sharpe_a,cum_simple,max_drawdown,hit_rate,worst_month,best_month,n_months
EqualWeight_TopK,0.014578474303041222,0.06307774353077461,0.17494169163649465,0.21850771324420137,0.8006202117038408,2.8220938979319894,-0.34600579310628665,0.6261682242990654,-0.24569778999999997,0.2333356132000001,107
diagSigma_kappa_0.0,0.014091871693292214,0.0504948283280078,0.16910246031950657,0.17491921636715546,0.9667460432966981,2.9049748761350314,-0.32278718364825976,0.5981308411214953,-0.20540537247869622,0.15275153543216727,107
diagSigma_kappa_0.1,0.015287655944438662,0.04425955530099214,0.18345187133326393,0.15331959700344563,1.1965324388971692,3.5724052123195316,-0.26027727985476135,0.6635514018691588,-0.1851699280427789,0.12333640645603432,107
diagSigma_kappa_0.5,0.01469319386424871,0.04396765684025847,0.17631832637098452,0.1523084310741619,1.1576399620657358,3.2896720154516537,-0.28516698589637335,0.7009345794392523,-0.22194774942249607,0.14480599979527484,107
diagSigma_kappa_1.0,0.014474014985847076,0.04637549988936791,0.1736881798301649,0.16064944406958015,1.0811626572136623,3.1432359219785857,-0.29813574870538073,0.7009345794392523,-0.2292073197213892,0.1546737917445839,107
diagSigma_kappa_10.0,0.014979908685675013,0.051899582823564015,0.17975890422810015,0.17978542868408376,0.9998524660414486,3.2518514878438944,-0.3131987862766643,0.6915887850467289,-0.2349919773737254,0.1703064016051236,107
identity_kappa_0.0,0.014091871693292214,0.0504948283280078,0.16910246031950657,0.17491921636715546,0.9667460432966981,2.9049748761350314,-0.32278718364825976,0.5981308411214953,-0.20540537247869622,0.15275153543216727,107
identity_kappa_0.1,0.01497289551102576,0.05262513978413378,0.1796747461323091,0.18229883172306793,0.985605581966948,3.2298891610775753,-0.30737534357836216,0.6542056074766355,-0.24173302226633178,0.1747504722058656,107
identity_kappa_0.5,0.014620058282068346,0.058507791915038666,0.17544069938482015,0.20267693647102908,0.8656174818879695,2.9445331029303836,-0.32338474408280815,0.6355140186915887,-0.24160011285173494,0.19082865592233064,107
identity_kappa_1.0,0.01461461708198993,0.06060831914190577,0.17537540498387916,0.20995337623026025,0.8353064291356824,2.8942553723852975,-0.3339397002055414,0.6261682242990654,-0.24343548979825072,0.2094018932610306,107
identity_kappa_10.0,0.014582822223751008,0.06280634985242634,0.1749938666850121,0.21756757796469692,0.8043195972582232,2.830202167724014,-0.3446957697637366,0.6355140186915887,-0.2454532410220595,0.2307716381869576,107
