yyyymm,n_assets,window_rows
198501,50,60
198502,50,60
198503,50,60
198504,50,60
198505,50,60
198506,50,60
198507,50,60
198508,50,60
198509,50,60
198510,50,60
198511,50,60
198512,50,60
198601,50,60
198602,50,60
198603,50,60
198604,50,60
198605,50,60
198606,50,60
198607,50,60
198608,50,60
198609,50,60
198610,50,60
198611,50,60
198612,50,60
198701,50,60
198702,50,60
198703,50,60
198704,50,60
198705,50,60
198706,50,60
198707,50,60
198708,50,60
198709,50,60
198710,50,60
198711,50,60
198712,50,60
198801,50,60
198802,50,60
198803,50,60
198804,50,60
198805,50,60
198806,50,60
198807,50,60
198808,50,60
198809,50,60
198810,50,60
198811,50,60
198812,50,60
198901,50,60
198902,50,60
198903,50,60
198904,50,60
198905,50,60
198906,50,60
198907,50,60
198908,50,60
198909,50,60
198910,50,60
198911,50,60
198912,50,60
199001,50,60
199002,50,60
199003,50,60
199004,50,60
199005,50,60
199006,50,60
199007,50,60
199008,50,60
199009,50,60
199010,50,60
199011,50,60
199012,50,60
199101,50,60
199102,50,60
199103,50,60
199104,50,60
199105,50,60
199106,50,60
199107,50,60
199108,50,60
199109,50,60
199110,50,60
199111,50,60
199112,50,60
199201,50,60
199202,50,60
199203,50,60
199204,50,60
199205,50,60
199206,50,60
199207,50,60
199208,50,60
199209,50,60
199210,50,60
199211,50,60
199212,50,60
199301,50,60
199302,50,60
199303,50,60
199304,50,60
199305,50,60
199306,50,60
199307,50,60
199308,50,60
199309,50,60
199310,50,60
199311,50,60
199312,50,60
199401,50,60
199402,50,60
199403,50,60
199404,50,60
199405,50,60
199406,50,60
199407,50,60
199408,50,60
199409,50,60
199410,50,60
199411,50,60
199412,50,60
199501,50,60
199502,50,60
199503,50,60
199504,50,60
199505,50,60
199506,50,60
199507,50,60
199508,50,60
199509,50,60
199510,50,60
199511,50,60
199512,50,60
199601,50,60
199602,50,60
199603,50,60
199604,50,60
199605,50,60
199606,50,60
199607,50,60
199608,50,60
199609,50,60
199610,50,60
199611,50,60
199612,50,60
199701,50,60
199702,50,60
199703,50,60
199704,50,60
199705,50,60
199706,50,60
199707,50,60
199708,50,60
199709,50,60
199710,50,60
199711,50,60
199712,50,60
199801,50,60
199802,50,60
199803,50,60
199804,50,60
199805,50,60
199806,50,60
199807,50,60
199808,50,60
199809,50,60
199810,50,60
199811,50,60
199812,50,60
199901,50,60
199902,50,60
199903,50,60
199904,50,60
199905,50,60
199906,50,60
199907,50,60
199908,50,60
199909,50,60
199910,50,60
199911,50,60
199912,50,60
200001,50,60
200002,50,60
200003,50,60
200004,50,60
200005,50,60
200006,50,60
200007,50,60
200008,50,60
200009,50,60
200010,50,60
200011,50,60
200012,50,60
200101,50,60
200102,50,60
200103,50,60
200104,50,60
200105,50,60
200106,50,60
200107,50,60
200108,50,60
200109,50,60
200110,50,60
200111,50,60
200112,50,60
200201,50,60
200202,50,60
200203,50,60
200204,50,60
200205,50,60
200206,50,60
200207,50,60
200208,50,60
200209,50,60
200210,50,60
200211,50,60
200212,50,60
200301,50,60
200302,50,60
200303,50,60
200304,50,60
200305,50,60
200306,50,60
200307,50,60
200308,50,60
200309,50,60
200310,50,60
200311,50,60
200312,50,60
200401,50,60
200402,50,60
200403,50,60
200404,50,60
200405,50,60
200406,50,60
200407,50,60
200408,50,60
200409,50,60
200410,50,60
200411,50,60
200412,50,60
200501,50,60
200502,50,60
200503,50,60
200504,50,60
200505,50,60
200506,50,60
200507,50,60
200508,50,60
200509,50,60
200510,50,60
200511,50,60
200512,50,60
